ticker,date,adj_close
AAPL,2024-12-06,242.84
AAPL,2024-12-13,248.13
AAPL,2024-12-20,254.49
AAPL,2024-12-27,255.59
MSFT,2024-12-06,443.57
MSFT,2024-12-13,447.27
MSFT,2024-12-20,435.25
MSFT,2024-12-27,430.53
TSLA,2024-12-06,389.22
TSLA,2024-12-13,436.23
TSLA,2024-12-20,421.06
TSLA,2024-12-27,431.66
